date,daily_pnl,trades,volume_usd,avg_fee,win_day,cum_pnl,peak,drawdown,classification
2025-02-04,202212.740938,1076,3867930.6,1.0977909274163569,True,2019977.3167299998,2019977.3167299998,0.0,greed
2025-03-01,6028.486793,508,771208.99,0.41535007246062994,True,2026005.8035229999,2026005.8035229999,0.0,extreme fear
2025-03-02,348871.326269,2380,22592901.37,1.2569603462436976,True,2374877.1297919997,2374877.1297919997,0.0,fear
2025-03-03,616413.032233,1482,8244590.38,0.7021349813900135,True,2991290.162025,2991290.162025,0.0,fear
2025-03-04,-2365.961276,1748,8670233.15,0.7649421354118993,False,2988924.200749,2991290.162025,-2365.9612759999,extreme fear
2025-04-01,2553.537968,371,1826029.6199999999,0.6299514043126685,True,2991477.738717,2991477.738717,0.0,fear
2025-04-02,416876.88812,2512,15678409.27,1.5341475174920383,True,3408354.6268370003,3408354.6268370003,0.0,fear
2025-04-03,182075.566585,2402,11124247.15,0.9243698939550374,True,3590430.1934220004,3590430.1934220004,0.0,fear
2025-04-04,-25515.678949999998,1272,3835545.73,0.6572825545290881,False,3564914.5144720003,3590430.1934220004,-25515.67895000009,fear
2025-05-01,3187.719363,239,451943.57,0.5830192927615063,True,3568102.233835,3590430.1934220004,-22327.95958700031,neutral
2025-05-02,56706.235562,1297,8743231.51,1.029876342845027,True,3624808.469397,3624808.469397,0.0,greed
